,Logistic Regression,,,,,,Decision Tree,,,,,,Random Forest,,,,,,Naïve Bayes(Gaussian),,,,,,Support Vector Machine,,,,,,K Nearest Neighbors,,,,
,0.854030501,0.861413043,0.876811594,0.885869565,0.880434783,,0.810457516,0.788043478,0.778985507,0.77173913,0.77173913,,0.869281046,0.872282609,0.844202899,0.880434783,0.826086957,,0.85620915,0.866847826,0.851449275,0.869565217,0.880434783,,0.816993464,0.839673913,0.836956522,0.804347826,0.880434783,,0.845315904,0.888586957,0.833333333,0.869565217,0.869565217
,0.864923747,0.866847826,0.829710145,0.842391304,0.847826087,,0.77124183,0.769021739,0.807971014,0.777173913,0.804347826,,0.847494553,0.864130435,0.851449275,0.902173913,0.880434783,,0.834422658,0.861413043,0.869565217,0.85326087,0.869565217,,0.819172113,0.817934783,0.829710145,0.842391304,0.869565217,,0.869281046,0.864130435,0.811594203,0.864130435,0.804347826
,0.875816993,0.839673913,0.855072464,0.842391304,0.815217391,,0.786492375,0.796195652,0.804347826,0.733695652,0.72826087,,0.847494553,0.85326087,0.858695652,0.880434783,0.847826087,,0.860566449,0.850543478,0.847826087,0.864130435,0.836956522,,0.82788671,0.845108696,0.797101449,0.875,0.815217391,,0.880174292,0.820652174,0.833333333,0.804347826,0.847826087
,0.849673203,0.875,0.873188406,0.880434783,0.891304348,,0.790849673,0.777173913,0.782608696,0.755434783,0.695652174,,0.849673203,0.861413043,0.894927536,0.891304348,0.902173913,,0.862745098,0.83423913,0.873188406,0.875,0.836956522,,0.832244009,0.83423913,0.789855072,0.842391304,0.880434783,,0.830065359,0.836956522,0.862318841,0.815217391,0.923913043
,0.845315904,0.861413043,0.876811594,0.864130435,0.891304348,,0.77124183,0.785326087,0.77173913,0.815217391,0.858695652,,0.854030501,0.85326087,0.876811594,0.885869565,0.826086957,,0.860566449,0.869565217,0.884057971,0.875,0.869565217,,0.830065359,0.828804348,0.833333333,0.815217391,0.847826087,,0.8583878,0.850543478,0.884057971,0.875,0.858695652
,0.836601307,0.831521739,0.876811594,0.85326087,0.858695652,,0.797385621,0.831521739,0.782608696,0.804347826,0.804347826,,0.854030501,0.872282609,0.884057971,0.880434783,0.836956522,,0.851851852,0.885869565,0.836956522,0.869565217,0.880434783,,0.821350763,0.839673913,0.81884058,0.836956522,0.880434783,,0.85620915,0.861413043,0.862318841,0.847826087,0.913043478
,0.864923747,0.872282609,0.847826087,0.836956522,0.836956522,,0.751633987,0.788043478,0.778985507,0.793478261,0.804347826,,0.8583878,0.864130435,0.833333333,0.826086957,0.804347826,,0.843137255,0.842391304,0.844202899,0.836956522,0.858695652,,0.821350763,0.83423913,0.811594203,0.815217391,0.869565217,,0.821350763,0.845108696,0.862318841,0.858695652,0.869565217
,0.845315904,0.872282609,0.869565217,0.880434783,0.880434783,,0.762527233,0.798913043,0.789855072,0.75,0.75,,0.814814815,0.855978261,0.869565217,0.875,0.891304348,,0.877995643,0.855978261,0.844202899,0.875,0.869565217,,0.808278867,0.798913043,0.815217391,0.831521739,0.826086957,,0.816993464,0.872282609,0.869565217,0.836956522,0.804347826
,0.85620915,0.872282609,0.898550725,0.880434783,0.869565217,,0.812636166,0.739130435,0.775362319,0.782608696,0.891304348,,0.849673203,0.891304348,0.876811594,0.891304348,0.869565217,,0.840958606,0.855978261,0.862318841,0.858695652,0.836956522,,0.819172113,0.828804348,0.84057971,0.847826087,0.836956522,,0.849673203,0.866847826,0.873188406,0.869565217,0.858695652
,0.85620915,0.866847826,0.865942029,0.885869565,0.880434783,,0.769063181,0.79076087,0.753623188,0.798913043,0.77173913,,0.88671024,0.847826087,0.891304348,0.902173913,0.913043478,,0.873638344,0.864130435,0.865942029,0.85326087,0.815217391,,0.825708061,0.815217391,0.811594203,0.842391304,0.869565217,,0.840958606,0.845108696,0.865942029,0.836956522,0.880434783
,0.860566449,0.877717391,0.880434783,0.85326087,0.891304348,,0.808278867,0.8125,0.822463768,0.722826087,0.760869565,,0.880174292,0.85326087,0.894927536,0.864130435,0.826086957,,0.871459695,0.85326087,0.844202899,0.869565217,0.913043478,,0.812636166,0.823369565,0.786231884,0.826086957,0.847826087,,0.82788671,0.845108696,0.891304348,0.820652174,0.891304348
,0.864923747,0.839673913,0.855072464,0.847826087,0.956521739,,0.766884532,0.755434783,0.797101449,0.782608696,0.782608696,,0.847494553,0.877717391,0.880434783,0.875,0.836956522,,0.869281046,0.842391304,0.862318841,0.875,0.880434783,,0.825708061,0.815217391,0.81884058,0.793478261,0.815217391,,0.843137255,0.847826087,0.815217391,0.864130435,0.847826087
,0.869281046,0.858695652,0.865942029,0.804347826,0.902173913,,0.793028322,0.779891304,0.789855072,0.782608696,0.77173913,,0.838779956,0.883152174,0.887681159,0.885869565,0.836956522,,0.862745098,0.861413043,0.858695652,0.875,0.902173913,,0.816993464,0.836956522,0.797101449,0.809782609,0.847826087,,0.85620915,0.845108696,0.862318841,0.858695652,0.869565217
